A,B,C,D,E,F,G,H,I,J,,,
0,0,0,1,0,1,0,0.7777471365,0.8084502597,0.3308558259,0.1289139427,0.2693353929,0.7960472209
1,0,0,1,1,1,0,0.5680647856,0.9971715780,0.7117056791,0.1422757199,0.8004926830,0.2800243776
0,1,0,1,0,1,1,0.8092797799,0.6913916566,0.1509899353,0.9564902862,0.3094216078,0.7959471485
0,0,1,0,0,0,0,0.8304771208,0.8284292468,0.4830540256,0.3741920362,0.9256042056,0.7971479315
0,0,0,0,0,1,0,0.6220726268,0.0541435201,0.7124538808,0.2590252678,0.2198667820,0.4990790617
0,1,1,0,0,1,1,0.4036130123,0.3333207280,0.4705559160,0.3910615891,0.4595590122,0.9241852504
1,1,1,1,1,0,0,0.4309220030,0.7584421895,0.6132802591,0.1439919048,0.7651862092,0.8121554358
0,1,1,0,1,0,0,0.3067402071,0.6864681817,0.1787416097,0.4153507971,0.3976658992,0.2536132466
1,0,0,0,1,1,0,0.5713437069,0.0970945992,0.4043401335,0.6041117064,0.3719676258,0.2547001638
1,1,1,0,1,0,0,0.1026967885,0.1484005232,0.9147634241,0.5376138929,0.2967460905,0.0820994880
0,1,0,0,1,0,0,0.0527459080,0.8679269971,0.2673577862,0.1065531904,0.8351026028,0.1682426329
1,0,0,0,0,1,0,0.4674070957,0.7884035618,0.6283490062,0.7904011463,0.5766778942,0.0409498117
1,0,0,1,1,0,1,0.8966493448,0.9552612342,0.5754763684,0.5469177561,0.6347125620,0.8660097676
0,1,0,1,1,1,0,0.5551700834,0.3249762226,0.9462125441,0.0403402480,0.9077359256,0.0946445339
1,0,0,0,0,1,1,0.8280542251,0.3690509112,0.3059895146,0.8908269978,0.0697479700,0.4590031491
0,1,0,1,1,1,0,0.9003899642,0.9281151225,0.4390908498,0.2922638343,0.7307026535,0.2037681495
1,0,1,1,1,0,0,0.6741355266,0.6842796523,0.5735996286,0.0477399328,0.3389030835,0.5305886078
0,0,0,1,0,1,1,0.6364448885,0.4853950664,0.7010061564,0.9915105319,0.7480061138,0.6977929324
0,0,0,0,1,0,1,0.9508874957,0.5913834074,0.7475165827,0.4858474261,0.9745428958,0.3361637089
1,0,0,1,0,1,1,0.7552266624,0.8953322736,0.0977057768,0.6595898457,0.4488794166,0.9829799091
0,0,0,1,1,1,0,0.1316124042,0.0292165759,0.5459542442,0.1687196782,0.8092938173,0.5521916556
0,0,1,0,0,0,1,0.8917490933,0.5348516782,0.9335570713,0.4006584915,0.9067433611,0.2562331562
1,0,1,0,0,0,1,0.2463307031,0.1141695473,0.0040026545,0.8554350222,0.8009431590,0.0602909196
0,0,1,1,1,0,1,0.7636249173,0.5429841238,0.9395599095,0.9128584983,0.2396161794,0.5893562315
1,1,1,0,1,0,1,0.6656383937,0.6749404636,0.3043406336,0.8506025802,0.8113342244,0.0743203172
1,1,0,0,0,0,1,0.0118909837,0.2997927773,0.9776236145,0.9167702016,0.3597620009,0.3912350093
1,1,1,1,0,1,0,0.5390255051,0.2693992825,0.0770594259,0.9829911846,0.7881892622,0.4952739310
0,1,0,0,1,1,0,0.8135059047,0.1737592444,0.8805123875,0.3259826107,0.0016821218,0.3091983441
0,0,0,0,1,0,0,0.5839329800,0.5726289875,0.8248846182,0.7757931063,0.3380337856,0.7185920454
1,0,0,0,1,0,0,0.9249802930,0.3793505724,0.6703543086,0.3941178201,0.6866934141,0.9399000155
0,1,0,0,0,1,0,0.9016916477,0.4634462805,0.7815585141,0.1334068826,0.7704567281,0.2604633342
1,0,1,1,0,0,1,0.8944031177,0.6744610542,0.5593896406,0.0745939189,0.2965630912,0.7970488281
1,0,0,1,1,1,0,0.6645827908,0.8848267212,0.6915882179,0.5581420274,0.8303233357,0.2600374580
0,1,0,1,0,1,0,0.0979866660,0.5732345474,0.4042533869,0.6653847545,0.7337699500,0.9212367241
0,1,1,0,0,0,1,0.0321567194,0.9361998378,0.8493947093,0.7534944089,0.6854407727,0.7581717866
1,0,0,1,0,1,0,0.6342356750,0.3822723893,0.8261217186,0.4055622560,0.2646917230,0.4229856925
0,0,0,0,1,0,1,0.0146081997,0.9313169098,0.5903817955,0.9241218022,0.3835223387,0.0748202060
1,1,0,0,0,0,0,0.3265850809,0.1801975733,0.2239264352,0.2756171692,0.1796385483,0.4846967747
0,0,1,1,0,1,1,0.3797153868,0.7215165594,0.5672907867,0.3285092600,0.1361301425,0.4239509413
1,1,0,1,0,1,0,0.9987398996,0.7484681802,0.6777731837,0.4311808720,0.4239100087,0.4512748672
1,0,0,1,0,1,0,0.3205796466,0.6323766513,0.0297939135,0.5420310190,0.9193223040,0.4702163171
0,0,1,1,0,0,1,0.0585416746,0.7282094797,0.5418081828,0.3121327828,0.2301201760,0.9197971621
0,0,1,0,0,1,0,0.5706288535,0.8296608767,0.8361619744,0.9068311877,0.3439608105,0.7937610028
0,0,0,1,1,0,0,0.4735788470,0.0689457036,0.2654241659,0.8555715596,0.5183244203,0.4705158742
0,0,0,0,0,1,0,0.6315429062,0.1133457036,0.6142160664,0.4585391874,0.1344133937,0.0244274642
0,1,1,0,1,1,0,0.5308613093,0.6256249174,0.0791239068,0.8517231061,0.8167696218,0.3804389308
0,1,1,1,1,0,0,0.8484157994,0.5327300010,0.5547457193,0.9332784824,0.0878130281,0.6350884251
1,1,1,1,0,1,1,0.7051521116,0.2035558661,0.3674778482,0.8675009478,0.2351759002,0.9983583256
1,1,0,1,0,0,0,0.7631935580,0.2022207417,0.5239990372,0.8129791985,0.2584740561,0.5718877227
0,0,0,1,1,1,0,0.3319217358,0.2006615060,0.9872141392,0.6421192512,0.8537378465,0.9101129062
0,0,1,0,1,1,1,0.2181937909,0.4389692387,0.4695630413,0.5707351170,0.3238324774,0.2784741288
1,1,1,1,0,0,0,0.3660458163,0.7472435334,0.9499645308,0.7172325994,0.6873423671,0.9648490315
0,1,1,0,0,1,1,0.3437634157,0.7396539352,0.8845691541,0.4148580940,0.2848371584,0.7419977901
1,1,1,0,0,1,1,0.9271590142,0.7682824568,0.2140734554,0.5551629509,0.3256126824,0.4009844880
1,0,1,1,1,1,1,0.7253983431,0.9886831753,0.3507769862,0.5512066353,0.9377700477,0.8396525015
1,1,0,1,0,1,1,0.9109087605,0.8266257662,0.1867499216,0.4254630338,0.6263203979,0.0346386777
0,0,1,0,1,1,1,0.2512055901,0.9285830874,0.5910093565,0.7844469124,0.9165463331,0.1245642332
0,0,1,1,0,1,0,0.8071631487,0.6707110144,0.3697243552,0.3728617793,0.7640793528,0.7736038258
0,1,1,1,1,1,0,0.5485208896,0.3010926242,0.2606979432,0.9694622834,0.8352942369,0.6679206016
1,1,1,1,0,1,1,0.4230188360,0.1077403533,0.4012409043,0.1000523996,0.3888640073,0.5558963227
1,1,1,0,1,0,0,0.7729230197,0.6479924368,0.6161829177,0.4475367991,0.2075987677,0.4833709411
0,0,1,0,0,1,1,0.0443326444,0.2417999599,0.8947627223,0.0650458978,0.6786377765,0.0719234496
1,0,1,1,0,0,0,0.2565000029,0.7586179688,0.7784622717,0.8305120477,0.0985859972,0.6014367845
1,1,0,1,0,0,1,0.3300312548,0.3682315773,0.4018908748,0.6235449873,0.3948828806,0.4770717425
1,1,1,1,1,1,1,0.8408826608,0.7092276271,0.5285564526,0.1245516944,0.3240108541,0.5611383235
1,1,0,1,1,0,1,0.0960154617,0.8365477161,0.3182256920,0.7961288118,0.2877154392,0.4783879933
1,0,0,1,1,1,1,0.7599014072,0.7901388044,0.4917228818,0.5703552943,0.2562758611,0.6289099436
1,0,0,0,1,0,1,0.8093325039,0.9284599586,0.9419282796,0.4205769650,0.5302186706,0.4382104916
1,1,0,1,0,1,0,0.2797295810,0.5915565738,0.3437518296,0.3347420665,0.2446567691,0.9085163842
1,1,1,0,0,0,0,0.6497135782,0.0016480158,0.8455657847,0.7171340939,0.4752146262,0.9293398848
0,0,1,1,1,0,1,0.0606737565,0.9522019913,0.0472956225,0.6744456715,0.4193264437,0.7506117360
1,1,1,0,1,0,0,0.7678254615,0.9031692282,0.2770053274,0.3104493180,0.1493075127,0.0638482962
0,1,1,0,0,0,0,0.0433183936,0.2060513324,0.0101661733,0.0325121148,0.7809751681,0.3010284412
1,0,1,0,1,1,1,0.4607148198,0.1198248882,0.5819051117,0.5257934281,0.2312138411,0.5562971565
0,0,1,0,0,1,0,0.8886775500,0.9637924857,0.9896494891,0.8249679231,0.2601084854,0.4596653176
0,1,1,1,1,1,1,0.0249067498,0.9242012729,0.8257843279,0.8693667254,0.4464026480,0.8385255821
1,1,1,1,0,0,1,0.2652783035,0.1855229321,0.1996512166,0.1690540267,0.7808379233,0.6310031298
0,1,0,1,1,1,1,0.5903582112,0.9575644303,0.1489377674,0.0716810478,0.5906742983,0.2081609303
1,0,1,1,0,0,1,0.9423520244,0.2305237572,0.2775884061,0.2362278709,0.8378186338,0.6224683598
0,1,1,0,1,0,0,0.0711968122,0.8703897465,0.8682237566,0.3793109995,0.3282867926,0.1991927773
0,1,1,0,1,0,0,0.0776480492,0.0365191693,0.0048684776,0.0751772700,0.4078580434,0.9063412421
0,1,0,0,0,0,0,0.7088968912,0.0568783600,0.1646947190,0.9708893355,0.1515698745,0.3837903026
1,1,0,0,1,0,1,0.9210812845,0.5769552127,0.5845813039,0.7898086919,0.3836695873,0.9711633245
0,1,1,1,0,0,1,0.8666249914,0.8399700462,0.2940126695,0.9472869635,0.9666484650,0.5729823182
1,1,1,1,0,0,0,0.4468781217,0.7478619469,0.4888720866,0.6122386935,0.8805615441,0.8720386219
1,0,1,0,1,1,1,0.2522232858,0.3137035579,0.7863590545,0.5601236736,0.0345722805,0.5400484046
1,0,1,1,1,1,0,0.8520118855,0.0306983637,0.9467876321,0.6488041836,0.0016927994,0.2900123438
0,1,0,0,0,1,1,0.0537870959,0.8791290144,0.1222427110,0.6889692722,0.2435924574,0.7711067768
0,1,0,0,1,0,1,0.7766558146,0.5731051723,0.6310603679,0.1534431516,0.8034899216,0.8152170912
1,0,0,0,0,0,1,0.8296533572,0.6826856351,0.0185928601,0.8192628073,0.4568327465,0.3717803359
0,0,0,0,1,1,1,0.6753248032,0.8755138582,0.2234942089,0.1028881669,0.7006592415,0.6652277010
1,0,0,1,0,0,0,0.5434392486,0.9508798853,0.2501693117,0.2837421820,0.2980078235,0.1745680310
0,0,0,1,1,1,0,0.3681303239,0.5271188910,0.4295469001,0.4278781349,0.4445911297,0.4401864875
1,1,0,1,1,1,0,0.5552768679,0.1173806032,0.6637973720,0.9129943880,0.6335313451,0.4107581959
0,1,1,0,1,1,0,0.1937618330,0.8145150966,0.8812024747,0.3332887618,0.3623365071,0.7771197888
1,1,1,0,1,0,1,0.9210436465,0.3665502416,0.0731655373,0.3955054758,0.7521571140,0.2307367800
1,1,1,1,0,0,1,0.1933333427,0.2764885938,0.1502523301,0.3300549011,0.5203833599,0.3008817169
1,0,0,1,0,0,0,0.9007911128,0.5906333774,0.3855958115,0.3520159265,0.7063131393,0.4150509145
1,1,0,1,0,1,1,0.3747233660,0.9493577052,0.9957159632,0.2286007390,0.0715502566,0.5272201221
1,0,1,1,0,1,1,0.2209469676,0.8419345831,0.3669274151,0.0650363388,0.7419305136,0.6862336192
0,1,0,0,1,1,0,0.4992001234,0.9431404755,0.5034847292,0.7052766359,0.5098095136,0.0521657798
1,0,1,0,0,1,1,0.7697849814,0.1393318293,0.0198665974,0.1850859830,0.4690558179,0.8145767017
1,1,0,0,1,1,0,0.0086696553,0.3635525079,0.7094438388,0.0350940102,0.9082459779,0.0561374258
0,1,1,1,1,1,1,0.1923516821,0.3111309288,0.3770843935,0.5771651329,0.0176278665,0.6171212667
0,0,0,1,0,0,1,0.2559872717,0.5138490181,0.6780252904,0.1524215434,0.6682163333,0.5774604515
1,1,0,1,1,0,0,0.8758015805,0.6049991879,0.2427480575,0.1793845035,0.1191618689,0.6591228703
1,0,0,1,0,1,0,0.7627197765,0.1679488327,0.1279661725,0.3679616549,0.9830508549,0.8128460520
0,0,1,0,0,0,0,0.2413070411,0.1700330148,0.1239847429,0.5461901370,0.2401169534,0.7455995632
1,0,0,0,1,1,0,0.8921354339,0.4980066647,0.8999119452,0.9033728647,0.5124710258,0.9968099343
0,0,1,0,1,0,0,0.8744059391,0.7525308696,0.5362250004,0.6841987688,0.4865618320,0.9889461566
0,0,1,0,0,0,1,0.1277802056,0.8381538992,0.7809106410,0.8702438455,0.8054917231,0.6144734118
1,1,0,0,1,1,1,0.1546258717,0.9602142503,0.1196493870,0.3998667910,0.6240075510,0.0612431495
0,1,0,1,1,1,0,0.1561560100,0.2832777561,0.0813064282,0.1983907083,0.7998560914,0.1222985131
1,1,1,1,0,1,0,0.3273192565,0.7385757612,0.2241694005,0.4264743924,0.6701876456,0.8456819979
0,1,0,1,1,0,0,0.4726650207,0.4129665848,0.1352967876,0.2621837882,0.9094030363,0.9754545130
1,0,0,1,0,1,1,0.4825958028,0.8750367132,0.6447697161,0.1945805103,0.7006119932,0.0377513729
1,1,1,1,1,1,0,0.2844406399,0.7082803841,0.7661510911,0.2017207067,0.8077754197,0.0726306937
0,0,0,1,1,0,1,0.9107031310,0.0492983577,0.5846237228,0.0069252038,0.0232834783,0.1957412665
0,1,0,1,1,0,0,0.4586098315,0.8640309572,0.6434183465,0.3738653231,0.9832667029,0.1901850244
1,0,0,0,0,0,1,0.9430990322,0.5946501736,0.0144319371,0.0784041481,0.1292769597,0.1888148515
1,1,1,0,0,0,0,0.7028899505,0.5616248748,0.4387770034,0.5822411082,0.9216532372,0.7631990421
0,0,0,0,1,1,1,0.4885814330,0.9812833252,0.5113477027,0.4575247145,0.9404065004,0.2747380659
1,1,1,1,0,1,0,0.9501378387,0.4345344952,0.0267201699,0.5354813216,0.0630478524,0.6829554336
1,1,1,0,1,1,1,0.8200892541,0.1811956125,0.5586113865,0.6247641151,0.7976676612,0.1297091926
0,1,1,1,0,0,0,0.5146061121,0.3979205634,0.1249849917,0.6990272268,0.7942453856,0.7629544772
1,1,1,0,1,0,1,0.5328154527,0.0685302694,0.1298417714,0.1872852487,0.3641905431,0.0803724052
1,0,1,1,1,0,1,0.5555129568,0.4647628185,0.5017191903,0.7039006664,0.7760377731,0.8156917398
0,0,1,0,1,1,1,0.1532489937,0.5202715350,0.5072178119,0.8586525205,0.9159379741,0.7150554983
0,0,0,0,0,0,0,0.4007759672,0.3607090618,0.9572736290,0.0196035183,0.6488219574,0.4902474247
0,1,1,1,0,0,1,0.4450711776,0.9997491715,0.4931096355,0.9385574297,0.8903848636,0.9021395287
0,0,1,1,1,0,1,0.1211814196,0.3019921794,0.2117104051,0.1302470108,0.1428822577,0.3411843693
0,1,1,1,0,0,1,0.2715962087,0.0367062148,0.9494434092,0.8347567222,0.4908834551,0.7488030191
0,1,1,0,1,0,1,0.8444611300,0.3617737289,0.2775973463,0.9411949795,0.5626250440,0.1869838960
0,1,0,1,1,1,1,0.9066372812,0.0661210250,0.2104777205,0.6740013300,0.3074356983,0.4068671698
0,0,1,0,1,0,1,0.3789470363,0.6742459014,0.7220028071,0.4224786842,0.8746319041,0.9372775690
1,1,1,0,0,1,0,0.2611338045,0.0860319571,0.9256350468,0.4350103168,0.6930644056,0.5323658618
0,1,0,0,1,1,1,0.5972066997,0.2913825726,0.8267837851,0.0980118918,0.2884737281,0.7889275956
1,1,1,1,0,1,1,0.3110374236,0.2583814333,0.0643759808,0.9138184148,0.3831133987,0.4393444937
0,0,1,1,1,1,0,0.6338240886,0.8369550975,0.3836740740,0.0087325308,0.7348917532,0.6825956535
1,1,0,1,0,0,0,0.6816646690,0.7689984338,0.5385208745,0.4949057475,0.6866796128,0.7384304926
0,0,1,1,0,0,0,0.2709530247,0.1996058943,0.1931800083,0.2108472744,0.3959565242,0.3573664650
0,0,0,0,0,1,1,0.9024813212,0.9431832973,0.6180299190,0.8577786838,0.1119364765,0.2470770911
0,1,0,0,1,1,1,0.4837060957,0.3322114483,0.1936510648,0.8256521034,0.8817695673,0.8472531200
1,1,0,1,0,1,0,0.7024863106,0.7236879473,0.0535845226,0.9391258503,0.0933805094,0.7454470508
1,0,1,1,1,1,0,0.7141821706,0.4359237836,0.4442916894,0.2875831602,0.0084448578,0.2773529612
0,0,0,0,0,0,1,0.9389661779,0.9225129597,0.7645936189,0.7863524072,0.6053048936,0.3226489634
0,0,1,1,0,1,0,0.5636895983,0.6208209158,0.7625446375,0.7072628872,0.0813170923,0.5281629115
1,1,0,0,0,0,0,0.1333687962,0.2880961602,0.1032104562,0.0025639818,0.2168470798,0.3397238366
1,1,1,0,1,0,0,0.2588378475,0.1026607910,0.9646953298,0.0524150031,0.8581697689,0.3194711898
1,1,0,1,1,0,1,0.4716496975,0.5655971505,0.6950257341,0.0479956013,0.8868483179,0.5184198502
1,1,1,0,0,0,0,0.4012967073,0.3512895447,0.5608208254,0.9512064746,0.8395601809,0.0928113032
1,0,1,1,1,1,1,0.6706637386,0.5926569765,0.3950269218,0.1641494818,0.9127643066,0.0639893836
0,0,0,0,1,0,1,0.3858857970,0.4825008675,0.4361171266,0.2373217228,0.5918208663,0.7423653156
1,1,1,1,0,0,1,0.8786590006,0.8197836499,0.5311478591,0.7416453790,0.5452402211,0.1900590668
1,0,0,1,1,1,0,0.9409325970,0.2916212743,0.1366375028,0.8205221407,0.3999013640,0.6993016344
0,0,0,0,1,1,1,0.3589165970,0.1891371044,0.5347854118,0.4480646434,0.6496082311,0.8827135209
0,0,1,1,0,0,1,0.3071618471,0.9145897198,0.8717528158,0.7962170532,0.0171585800,0.8483783179
0,0,1,1,1,0,0,0.9919832423,0.9780110922,0.7731447555,0.6243112972,0.2516314662,0.8420604640
0,1,1,1,0,1,0,0.4454109129,0.1368398345,0.9519981463,0.1238505137,0.5221944461,0.4384060283
0,1,0,0,0,1,0,0.2416844023,0.6668794286,0.7085191584,0.5411080252,0.4289508015,0.8034645156
1,1,1,1,0,0,0,0.7767237904,0.0967274560,0.7647845512,0.9910255098,0.6265002717,0.6730224616
0,0,0,0,0,1,0,0.4144475474,0.6277433913,0.2151007601,0.2583548273,0.0097398912,0.1567661106
0,1,0,0,1,1,0,0.6509632105,0.1460869084,0.4238694408,0.1327596479,0.6824948909,0.5855743201
1,1,1,0,1,1,1,0.4019825249,0.6808962808,0.8154782201,0.7407814884,0.6962199025,0.2049436625
1,0,1,1,0,1,1,0.0809137127,0.8701859056,0.7554154568,0.3289161148,0.6958657638,0.1086627492
0,1,1,1,0,1,0,0.4470256278,0.2526147463,0.7986346283,0.4734898517,0.6386391376,0.2602960635
1,0,0,1,1,1,1,0.1019102070,0.3990908642,0.3132573171,0.8519832068,0.0171887013,0.1996250255
0,1,1,1,0,1,0,0.8056371016,0.6095243623,0.0980064608,0.9027399574,0.6495938865,0.8520623753
0,0,0,1,1,1,1,0.1848099753,0.9406248555,0.0879184776,0.2081936165,0.1787859336,0.5387635753
1,1,1,1,1,1,0,0.1916855467,0.1619726135,0.6546393256,0.0327409925,0.2316569588,0.7380711799
1,0,1,0,0,0,0,0.5328865447,0.4533298756,0.4340559980,0.1805749908,0.3990863571,0.4998032413
0,1,1,0,0,1,1,0.5031907861,0.1024991772,0.1895379624,0.9354083156,0.1941449228,0.3604451828
0,0,0,1,1,1,0,0.3562281379,0.1514212913,0.7658359087,0.8393016993,0.9871477936,0.0958992415
1,0,0,1,0,0,0,0.4918351769,0.9825931117,0.8474587016,0.7765731295,0.0713127172,0.0841644467
1,1,0,0,0,0,0,0.6380589372,0.4361246154,0.6214249651,0.7571547884,0.5101980073,0.6553934542
0,0,0,1,0,0,1,0.8686355567,0.4974017856,0.1590452217,0.8079235740,0.2550121252,0.7939900472
1,1,1,0,1,1,0,0.9431307740,0.3680071961,0.4304968934,0.0433075689,0.2504970077,0.1855611484
0,0,0,1,0,0,0,0.2743274164,0.6438325071,0.0654734182,0.1272178660,0.2296826434,0.2528445409
1,1,0,1,1,0,1,0.2514516185,0.8513436713,0.6296355776,0.2582802917,0.6552309650,0.7196590183
0,1,0,1,0,1,1,0.7360612000,0.5195801286,0.9425245835,0.8492642972,0.5091709550,0.7820212231
0,1,1,0,1,1,0,0.5830918388,0.9547790163,0.1814906285,0.0846260278,0.8057091483,0.3383156536
1,0,0,0,0,1,0,0.3126244633,0.1469730586,0.1874899194,0.7583784512,0.2189633106,0.0474066725
1,1,0,0,1,0,1,0.8156540259,0.4446444479,0.1762711098,0.0286156298,0.3571383515,0.4041587873
1,0,1,0,0,1,0,0.4378817831,0.5231279703,0.2227827497,0.1989373686,0.4745481373,0.4412528221
0,0,0,1,1,1,1,0.8292182768,0.7139207092,0.9766619676,0.1029768512,0.1870388770,0.6588807967
0,0,1,0,0,1,1,0.0184721807,0.8341929559,0.3468067190,0.8488384318,0.4200004567,0.1081688991
1,1,1,0,1,1,1,0.6790222381,0.2130026538,0.7978602415,0.9207241056,0.6340687447,0.9897935051
0,1,0,0,1,1,0,0.7729527783,0.8932605190,0.9983632821,0.1473718835,0.9959913674,0.9808073915
0,1,0,1,0,0,1,0.3058991469,0.6188920415,0.9699478713,0.6295991549,0.2096108440,0.2482238077
1,0,1,1,1,0,1,0.5735614025,0.9817671501,0.9925097628,0.2276515681,0.6220911108,0.9063392016
0,0,0,0,1,0,0,0.6586376503,0.2442474426,0.4938297686,0.1440362297,0.5816972903,0.0753432135
1,1,1,1,1,1,0,0.1820567809,0.0215953290,0.0211353535,0.8154322878,0.7103298600,0.0527837826
0,0,0,1,1,0,0,0.1363477940,0.4133062242,0.2238463964,0.2025861824,0.6362056863,0.0024944516
1,0,1,1,1,1,0,0.4641594687,0.0631817253,0.0403528907,0.1814043373,0.4466430112,0.1336918049
1,0,1,1,1,0,1,0.9717196575,0.4324280238,0.6826667213,0.4854960828,0.0148879834,0.6003781920
1,1,0,0,0,0,1,0.4281235095,0.5559754591,0.8896978535,0.7090380760,0.0772878681,0.4610627117
1,1,1,1,0,0,1,0.1216473198,0.0091028879,0.3491305914,0.9108396019,0.7795315338,0.9890365805
1,0,1,1,0,1,0,0.0776396315,0.2648626715,0.6932672155,0.0817356152,0.4246345935,0.1368834437
1,1,0,0,0,0,0,0.2961095651,0.4727609302,0.0355953714,0.5696060681,0.3425949509,0.4658350474
1,0,1,0,1,1,0,0.8724252819,0.3685698244,0.5639507393,0.0651810933,0.5515737869,0.5615840610
0,0,0,0,1,0,0,0.5728765330,0.8326867204,0.4762728368,0.1058983868,0.7038492798,0.2069950220
1,0,1,0,0,1,1,0.8655776824,0.6024362915,0.7674639765,0.9707053360,0.3488297942,0.7501166603
1,1,0,1,0,1,0,0.4071096284,0.1351119853,0.7054370758,0.1559046833,0.5230833720,0.2392782266
0,0,0,0,0,0,1,0.4473854131,0.4127482218,0.6718799951,0.4688199996,0.9884492541,0.4909473648
0,1,1,1,1,1,1,0.4664224875,0.5773891998,0.1074981503,0.6025654385,0.4561952529,0.1066309577
1,1,0,0,1,1,1,0.6529597542,0.5922428058,0.3226817660,0.3835210162,0.2556234626,0.2534978930
0,0,0,0,0,1,0,0.6009010803,0.7395324758,0.7033497579,0.0110469381,0.1372317690,0.5830624793
0,0,0,1,1,0,1,0.4029356386,0.9673029119,0.0901246532,0.8987078047,0.6279429100,0.5015330319
0,0,0,0,0,1,1,0.7953192620,0.0526481960,0.6735945144,0.2899515061,0.3041096088,0.1939575453
1,0,0,1,0,0,0,0.5752664800,0.9738425598,0.8335359851,0.9941027560,0.2992233760,0.9591845307
1,0,0,0,1,0,1,0.5540088620,0.8180827247,0.3979660324,0.1863457607,0.7563608587,0.1322915647
0,1,1,0,0,0,1,0.0386259654,0.0509465188,0.1128796116,0.7495061019,0.5652206927,0.5165957585
1,0,1,1,0,1,1,0.8869227837,0.3742445945,0.8892278341,0.2457523411,0.6488538827,0.2439101250
0,1,0,0,0,0,1,0.0411756728,0.5497363335,0.7027009032,0.5851159431,0.9052469260,0.6997088739
0,0,1,0,0,0,0,0.4380202866,0.1664629863,0.9233818795,0.7540046861,0.2958439756,0.8052384518
0,0,1,0,0,1,1,0.1794351665,0.8389928006,0.2860794668,0.1654960602,0.6725090477,0.2748937397
1,0,0,1,1,0,0,0.7363878377,0.4305210467,0.3498578207,0.2030388471,0.4261422926,0.2656633905
0,1,0,1,0,1,0,0.7048205188,0.9981988324,0.3399790484,0.5550256209,0.7187901367,0.8911165139
1,0,0,0,1,1,1,0.2095412998,0.9941716231,0.4234808576,0.5197211821,0.2315005367,0.4956097328
1,0,1,0,0,1,1,0.6368652252,0.1363863894,0.1349378536,0.8524408061,0.1739756586,0.7528747981
1,1,0,1,1,0,1,0.1147956322,0.1349974629,0.6555070439,0.3205333306,0.7076934665,0.7092877268
1,1,1,1,0,0,0,0.6798847658,0.2192140105,0.0747547811,0.8881764985,0.5602798387,0.7587036178
0,0,0,0,1,1,1,0.0639154883,0.8614194393,0.7413144796,0.6052478505,0.7054523863,0.5443652454
0,0,1,0,1,0,1,0.5592742451,0.2303865473,0.4858322209,0.9681118894,0.3947139340,0.1094705006
0,0,1,1,1,0,1,0.2100614794,0.2255267426,0.8077719263,0.7529775510,0.4364565415,0.0657714647
0,0,0,1,0,0,0,0.7714816923,0.9488623794,0.0937929405,0.6399799916,0.9751548641,0.3736388022
0,0,0,1,1,0,0,0.8910103701,0.5941303554,0.1098655434,0.0429093856,0.6578287850,0.7792851836
1,0,1,0,1,0,0,0.4815094303,0.7650316474,0.0179045545,0.1600125572,0.7230855729,0.5142992036
1,1,1,0,1,0,0,0.8485653307,0.2956719929,0.5108013400,0.6619132296,0.9041811018,0.5973359565
1,1,0,1,1,1,1,0.7197501161,0.8099585883,0.8713471042,0.0284265685,0.9865064817,0.1274150065
1,1,1,1,0,0,1,0.3144629444,0.6707322337,0.4582457519,0.3994007995,0.3941743746,0.0266333846
0,0,1,0,1,0,0,0.8031157185,0.2247171830,0.2943432159,0.2426846614,0.3316432340,0.5066233948
0,1,1,0,0,0,1,0.2011072058,0.4167162976,0.9313943121,0.4044319172,0.2532156319,0.1690113689
1,0,1,1,0,1,0,0.8606621888,0.3898067959,0.5663999384,0.3931779196,0.8812943567,0.6023201481
0,0,0,0,1,0,1,0.8875891389,0.9518942921,0.0161969773,0.5064666383,0.4689746494,0.5904841032
1,1,1,0,0,1,0,0.7549922126,0.3033501855,0.1632037638,0.6044783038,0.9877902232,0.9752118280
1,1,1,0,1,0,0,0.4501938405,0.4210842187,0.1926458473,0.1511092316,0.2891741958,0.2208764260
0,1,0,0,1,0,1,0.1675135959,0.1097317780,0.6297364882,0.4835821339,0.0927615054,0.2322000633
0,1,0,0,0,1,1,0.2683393918,0.5167789748,0.6421086588,0.2274851031,0.8177331868,0.2113905577
0,0,1,0,1,1,1,0.4828782533,0.3895729049,0.9134027655,0.3642522134,0.3631500183,0.8379591033
0,1,1,0,1,1,0,0.6122935996,0.9696641513,0.5931463852,0.7675416679,0.7472426253,0.8685462684
1,0,0,0,0,1,0,0.3382430724,0.9490221166,0.4657192719,0.1102365218,0.4667624608,0.8121337481
0,0,0,1,0,0,1,0.7219286240,0.0888213185,0.9730840526,0.0400269348,0.2509021545,0.3623685734
1,1,0,0,0,0,1,0.1626689942,0.7106203572,0.3328304319,0.6102145449,0.1488010720,0.3098539030
0,1,0,1,0,1,1,0.5670812260,0.7054757825,0.1719908663,0.0928989714,0.2880346514,0.7252001385
0,1,0,0,1,1,1,0.4499795581,0.2456613900,0.4068468129,0.0780939516,0.1856770567,0.8372596251
0,0,1,1,0,0,1,0.7262152391,0.8006587201,0.3246833347,0.9520909907,0.6361450371,0.8422187506
0,1,0,0,1,1,1,0.1071800799,0.6604542173,0.8498642659,0.6870074579,0.5916710822,0.8051828719
1,1,1,0,0,1,1,0.6354591176,0.6070988579,0.2725040303,0.4052622365,0.2243850939,0.1696475744
